; MSControl_Server Game File									
; Mega Crash File									
; Andrew Stokes									
;									
;	Profit	W.cost	J.cost	D.cost					
COSTS	9	4	7	17					
;									
;	W.na	W.eu	W.ap	J.na	J.eu	J.ap	D.na	D.eu	D.ap
CONFIG	1	0	0	1	0	0	1	0	0
;									
;	DAY	HH	MM	SS	DMA.na	DMD.eu	DMD.ap		
DEMAND	2	0	0	0	392	493	897		
DEMAND	2	0	0	30	386	577	823		
DEMAND	2	0	1	0	401	573	868		
DEMAND	2	0	1	30	338	531	829		
DEMAND	2	0	2	0	364	561	806		
DEMAND	2	0	2	30	399	533	801		
DEMAND	2	0	3	0	365	445	927		
DEMAND	2	0	3	30	384	510	911		
DEMAND	2	0	4	0	364	609	856		
DEMAND	2	0	4	30	371	533	892		
DEMAND	2	0	5	0	355	478	794		
DEMAND	2	0	5	30	400	554	829		
DEMAND	2	0	6	0	342	568	816		
DEMAND	2	0	6	30	329	657	813		
DEMAND	2	0	7	0	387	530	805		
DEMAND	2	0	7	30	381	522	870		
DEMAND	2	0	8	0	394	528	834		
DEMAND	2	0	8	30	370	585	870		
DEMAND	2	0	9	0	345	537	776		
DEMAND	2	0	9	30	377	642	778		
DEMAND	2	0	10	0	362	556	804		
DEMAND	2	0	10	30	355	516	807		
DEMAND	2	0	11	0	333	547	758		
DEMAND	2	0	11	30	371	508	814		
DEMAND	2	0	12	0	374	601	852		
DEMAND	2	0	12	30	341	606	798		
DEMAND	2	0	13	0	358	587	807		
DEMAND	2	0	13	30	352	634	829		
DEMAND	2	0	14	0	358	585	886		
DEMAND	2	0	14	30	355	643	848		
DEMAND	2	0	15	0	366	629	863		
DEMAND	2	0	15	30	329	571	802		
DEMAND	2	0	16	0	362	534	863		
DEMAND	2	0	16	30	340	593	761		
DEMAND	2	0	17	0	329	541	834		
DEMAND	2	0	17	30	352	644	852		
DEMAND	2	0	18	0	345	616	830		
DEMAND	2	0	18	30	365	664	780		
DEMAND	2	0	19	0	349	660	773		
DEMAND	2	0	19	30	336	653	826		
DEMAND	2	0	20	0	346	669	839		
DEMAND	2	0	20	30	357	550	808		
DEMAND	2	0	21	0	351	715	866		
DEMAND	2	0	21	30	353	606	762		
DEMAND	2	0	22	0	320	543	822		
DEMAND	2	0	22	30	336	598	791		
DEMAND	2	0	23	0	354	570	773		
DEMAND	2	0	23	30	344	645	796		
DEMAND	2	0	24	0	342	641	864		
DEMAND	2	0	24	30	336	600	738		
DEMAND	2	0	25	0	330	654	726		
DEMAND	2	0	25	30	346	646	783		
DEMAND	2	0	26	0	301	569	783		
DEMAND	2	0	26	30	339	677	841		
DEMAND	2	0	27	0	319	722	856		
DEMAND	2	0	27	30	322	700	765		
DEMAND	2	0	28	0	326	698	799		
DEMAND	2	0	28	30	337	522	769		
DEMAND	2	0	29	0	312	682	809		
DEMAND	2	0	29	30	337	619	809		
DEMAND	2	0	30	0	323	673	820		
DEMAND	2	0	30	30	324	741	754		
DEMAND	2	0	31	0	315	679	782		
DEMAND	2	0	31	30	333	741	810		
DEMAND	2	0	32	0	323	778	764		
DEMAND	2	0	32	30	326	746	764		
DEMAND	2	0	33	0	323	662	767		
DEMAND	2	0	33	30	318	679	770		
DEMAND	2	0	34	0	302	666	793		
DEMAND	2	0	34	30	318	645	778		
DEMAND	2	0	35	0	321	745	805		
DEMAND	2	0	35	30	304	796	781		
DEMAND	2	0	36	0	328	796	767		
DEMAND	2	0	36	30	332	723	758		
DEMAND	2	0	37	0	318	609	735		
DEMAND	2	0	37	30	310	637	773		
DEMAND	2	0	38	0	315	726	724		
DEMAND	2	0	38	30	312	698	750		
DEMAND	2	0	39	0	313	710	785		
DEMAND	2	0	39	30	317	766	767		
DEMAND	2	0	40	0	313	737	754		
DEMAND	2	0	40	30	306	778	761		
DEMAND	2	0	41	0	296	721	756		
DEMAND	2	0	41	30	303	735	740		
DEMAND	2	0	42	0	303	745	738		
DEMAND	2	0	42	30	312	768	733		
DEMAND	2	0	43	0	303	792	745		
DEMAND	2	0	43	30	310	760	780		
DEMAND	2	0	44	0	299	739	730		
DEMAND	2	0	44	30	302	784	712		
DEMAND	2	0	45	0	293	744	711		
DEMAND	2	0	45	30	304	711	741		
DEMAND	2	0	46	0	299	806	803		
DEMAND	2	0	46	30	286	754	735		
DEMAND	2	0	47	0	305	734	727		
DEMAND	2	0	47	30	288	839	747		
DEMAND	2	0	48	0	307	933	769		
DEMAND	2	0	48	30	301	836	773		
DEMAND	2	0	49	0	290	825	791		
DEMAND	2	0	49	30	287	787	725		
DEMAND	2	0	50	0	281	675	756		
DEMAND	2	0	50	30	278	799	758		
DEMAND	2	0	51	0	288	764	756		
DEMAND	2	0	51	30	287	916	700		
DEMAND	2	0	52	0	278	838	742		
DEMAND	2	0	52	30	286	862	711		
DEMAND	2	0	53	0	299	730	758		
DEMAND	2	0	53	30	284	951	740		
DEMAND	2	0	54	0	290	699	737		
DEMAND	2	0	54	30	280	778	702		
DEMAND	2	0	55	0	276	755	762		
DEMAND	2	0	55	30	294	813	696		
DEMAND	2	0	56	0	273	770	745		
DEMAND	2	0	56	30	293	989	733		
DEMAND	2	0	57	0	285	938	738		
DEMAND	2	0	57	30	275	786	737		
DEMAND	2	0	58	0	281	788	746		
DEMAND	2	0	58	30	265	963	740		
DEMAND	2	0	59	0	281	847	752		
DEMAND	2	0	59	30	279	711	746		
DEMAND	2	1	0	0	270	981	711		
DEMAND	2	1	0	30	276	991	737		
DEMAND	2	1	1	0	279	894	740		
DEMAND	2	1	1	30	259	941	742		
DEMAND	2	1	2	0	273	890	734		
DEMAND	2	1	2	30	268	782	731		
DEMAND	2	1	3	0	279	821	726		
DEMAND	2	1	3	30	270	961	689		
DEMAND	2	1	4	0	276	991	737		
DEMAND	2	1	4	30	273	863	691		
DEMAND	2	1	5	0	255	992	718		
DEMAND	2	1	5	30	252	850	737		
DEMAND	2	1	6	0	261	783	700		
DEMAND	2	1	6	30	272	890	769		
DEMAND	2	1	7	0	267	894	730		
DEMAND	2	1	7	30	272	826	702		
DEMAND	2	1	8	0	268	1025	709		
DEMAND	2	1	8	30	281	1039	713		
DEMAND	2	1	9	0	263	963	711		
DEMAND	2	1	9	30	267	832	726		
DEMAND	2	1	10	0	267	983	718		
DEMAND	2	1	10	30	247	934	753		
DEMAND	2	1	11	0	236	900	730		
DEMAND	2	1	11	30	251	1004	711		
DEMAND	2	1	12	0	256	814	730		
DEMAND	2	1	12	30	272	781	710		
DEMAND	2	1	13	0	262	1024	728		
DEMAND	2	1	13	30	250	876	713		
