; MSControl_Server Game File									
; Apr 6th									
; Andrew Stokes									
;									
;	Profit	W.cost	J.cost	D.cost					
COSTS	10	5	7	18					
;									
;	W.na	W.eu	W.ap	J.na	J.eu	J.ap	D.na	D.eu	D.ap
CONFIG	2	3	4	1	2	3	2	0	0
;									
;	DAY	HH	MM	SS	DMA.na	DMD.eu	DMD.ap		
DEMAND	2	0	0	0	299	575	1289		
DEMAND	2	0	0	30	354	459	1170		
DEMAND	2	0	1	0	358	425	1231		
DEMAND	2	0	1	30	334	514	1208		
DEMAND	2	0	2	0	291	436	1175		
DEMAND	2	0	2	30	293	422	1122		
DEMAND	2	0	3	0	332	514	1200		
DEMAND	2	0	3	30	309	479	1155		
DEMAND	2	0	4	0	331	513	1227		
DEMAND	2	0	4	30	334	450	1225		
DEMAND	2	0	5	0	308	478	1151		
DEMAND	2	0	5	30	309	428	1154		
DEMAND	2	0	6	0	343	447	1127		
DEMAND	2	0	6	30	297	503	1156		
DEMAND	2	0	7	0	319	460	1180		
DEMAND	2	0	7	30	323	437	1124		
DEMAND	2	0	8	0	333	456	1164		
DEMAND	2	0	8	30	324	413	1122		
DEMAND	2	0	9	0	333	463	1099		
DEMAND	2	0	9	30	302	483	1277		
DEMAND	2	0	10	0	310	493	1104		
DEMAND	2	0	10	30	310	538	1216		
DEMAND	2	0	11	0	286	575	1214		
DEMAND	2	0	11	30	290	517	1224		
DEMAND	2	0	12	0	322	483	1157		
DEMAND	2	0	12	30	326	536	1119		
DEMAND	2	0	13	0	284	527	1136		
DEMAND	2	0	13	30	311	462	1137		
DEMAND	2	0	14	0	320	474	1181		
DEMAND	2	0	14	30	303	601	1180		
DEMAND	2	0	15	0	319	569	1212		
DEMAND	2	0	15	30	327	561	1179		
DEMAND	2	0	16	0	324	568	1128		
DEMAND	2	0	16	30	314	570	1054		
DEMAND	2	0	17	0	320	593	1160		
DEMAND	2	0	17	30	307	530	1172		
DEMAND	2	0	18	0	302	491	1103		
DEMAND	2	0	18	30	279	465	1183		
DEMAND	2	0	19	0	305	484	1201		
DEMAND	2	0	19	30	312	489	1155		
DEMAND	2	0	20	0	317	602	1142		
DEMAND	2	0	20	30	290	639	1087		
DEMAND	2	0	21	0	278	548	1217		
DEMAND	2	0	21	30	311	625	1101		
DEMAND	2	0	22	0	300	484	1021		
DEMAND	2	0	22	30	272	523	1179		
DEMAND	2	0	23	0	301	585	1094		
DEMAND	2	0	23	30	288	590	1187		
DEMAND	2	0	24	0	292	511	1065		
DEMAND	2	0	24	30	277	601	1112		
DEMAND	2	0	25	0	304	612	1025		
DEMAND	2	0	25	30	295	601	1149		
DEMAND	2	0	26	0	282	673	1094		
DEMAND	2	0	26	30	281	691	1022		
DEMAND	2	0	27	0	299	597	1110		
DEMAND	2	0	27	30	276	658	1012		
DEMAND	2	0	28	0	294	560	1104		
DEMAND	2	0	28	30	293	621	1111		
DEMAND	2	0	29	0	291	527	1021		
DEMAND	2	0	29	30	262	655	1067		
DEMAND	2	0	30	0	268	607	1145		
DEMAND	2	0	30	30	290	502	1060		
DEMAND	2	0	31	0	279	541	1066		
DEMAND	2	0	31	30	285	592	1119		
DEMAND	2	0	32	0	279	594	1140		
DEMAND	2	0	32	30	278	654	1133		
DEMAND	2	0	33	0	290	606	1031		
DEMAND	2	0	33	30	279	647	1090		
DEMAND	2	0	34	0	274	722	1020		
DEMAND	2	0	34	30	283	557	1026		
DEMAND	2	0	35	0	289	629	1134		
DEMAND	2	0	35	30	275	630	1006		
DEMAND	2	0	36	0	266	570	1065		
DEMAND	2	0	36	30	270	662	1095		
DEMAND	2	0	37	0	275	578	1046		
DEMAND	2	0	37	30	266	682	1081		
DEMAND	2	0	38	0	267	601	1041		
DEMAND	2	0	38	30	270	694	1063		
DEMAND	2	0	39	0	271	559	1053		
DEMAND	2	0	39	30	276	553	1089		
DEMAND	2	0	40	0	259	702	1051		
DEMAND	2	0	40	30	268	745	1003		
DEMAND	2	0	41	0	274	729	1033		
DEMAND	2	0	41	30	275	697	1048		
DEMAND	2	0	42	0	266	686	1017		
DEMAND	2	0	42	30	255	630	973		
DEMAND	2	0	43	0	264	621	1066		
DEMAND	2	0	43	30	262	562	1064		
DEMAND	2	0	44	0	256	616	1013		
DEMAND	2	0	44	30	250	629	1002		
DEMAND	2	0	45	0	264	544	1006		
DEMAND	2	0	45	30	268	814	1066		
DEMAND	2	0	46	0	265	708	1066		
DEMAND	2	0	46	30	254	588	1099		
DEMAND	2	0	47	0	251	742	1062		
DEMAND	2	0	47	30	254	642	1071		
DEMAND	2	0	48	0	260	680	1038		
DEMAND	2	0	48	30	260	704	989		
DEMAND	2	0	49	0	257	677	1015		
DEMAND	2	0	49	30	255	651	1050		
DEMAND	2	0	50	0	258	746	1031		
DEMAND	2	0	50	30	251	744	1042		
DEMAND	2	0	51	0	244	678	1067		
DEMAND	2	0	51	30	252	778	1023		
DEMAND	2	0	52	0	240	638	972		
DEMAND	2	0	52	30	249	675	1098		
DEMAND	2	0	53	0	246	691	1031		
DEMAND	2	0	53	30	248	789	985		
DEMAND	2	0	54	0	260	647	1044		
DEMAND	2	0	54	30	252	728	1019		
DEMAND	2	0	55	0	238	731	1001		
DEMAND	2	0	55	30	249	715	1017		
DEMAND	2	0	56	0	237	673	981		
DEMAND	2	0	56	30	256	853	1014		
DEMAND	2	0	57	0	240	655	1009		
DEMAND	2	0	57	30	254	725	987		
DEMAND	2	0	58	0	242	793	1041		
DEMAND	2	0	58	30	235	613	1041		
