; MSControl_Server Game File									
; Apr 6th									
; Andrew Stokes									
;									
;	Profit	W.cost	J.cost	D.cost					
COSTS	3	1	2	5					
;									
;	W.na	W.eu	W.ap	J.na	J.eu	J.ap	D.na	D.eu	D.ap
CONFIG	2	2	2	1	1	1	0	1	0
;									
;	DAY	HH	MM	SS	DMA.na	DMD.eu	DMD.ap		
DEMAND	0	0	0	0	176	248	621		
DEMAND	0	0	0	30	176	245	595		
DEMAND	0	0	1	0	164	249	593		
DEMAND	0	0	1	30	165	235	617		
DEMAND	0	0	2	0	171	242	616		
DEMAND	0	0	2	30	176	232	594		
DEMAND	0	0	3	0	175	239	608		
DEMAND	0	0	3	30	181	247	593		
DEMAND	0	0	4	0	177	236	612		
DEMAND	0	0	4	30	182	254	599		
DEMAND	0	0	5	0	162	256	569		
DEMAND	0	0	5	30	174	249	586		
DEMAND	0	0	6	0	174	252	577		
DEMAND	0	0	6	30	175	260	579		
DEMAND	0	0	7	0	170	263	602		
DEMAND	0	0	7	30	180	252	596		
DEMAND	0	0	8	0	175	250	583		
DEMAND	0	0	8	30	165	247	578		
DEMAND	0	0	9	0	178	263	600		
DEMAND	0	0	9	30	177	267	578		
DEMAND	0	0	10	0	166	267	586		
DEMAND	0	0	10	30	175	261	599		
DEMAND	0	0	11	0	161	266	585		
DEMAND	0	0	11	30	168	263	604		
DEMAND	0	0	12	0	168	273	575		
DEMAND	0	0	12	30	174	277	577		
DEMAND	0	0	13	0	179	260	576		
DEMAND	0	0	13	30	171	269	580		
DEMAND	0	0	14	0	173	292	602		
DEMAND	0	0	14	30	175	260	578		
DEMAND	0	0	15	0	173	252	591		
DEMAND	0	0	15	30	176	277	579		
DEMAND	0	0	16	0	167	273	560		
DEMAND	0	0	16	30	170	262	558		
DEMAND	0	0	17	0	171	287	583		
DEMAND	0	0	17	30	169	289	545		
DEMAND	0	0	18	0	169	258	557		
DEMAND	0	0	18	30	170	260	545		
DEMAND	0	0	19	0	160	303	579		
DEMAND	0	0	19	30	163	300	569		
DEMAND	0	0	20	0	166	273	553		
DEMAND	0	0	20	30	171	271	557		
DEMAND	0	0	21	0	169	283	546		
DEMAND	0	0	21	30	158	262	568		
DEMAND	0	0	22	0	167	286	547		
DEMAND	0	0	22	30	162	274	567		
DEMAND	0	0	23	0	169	280	558		
DEMAND	0	0	23	30	167	288	554		
DEMAND	0	0	24	0	158	271	569		
DEMAND	0	0	24	30	166	268	546		
DEMAND	0	0	25	0	159	308	540		
DEMAND	0	0	25	30	166	286	551		
DEMAND	0	0	26	0	164	277	536		
DEMAND	0	0	26	30	161	307	534		
DEMAND	0	0	27	0	158	284	539		
DEMAND	0	0	27	30	157	302	526		
DEMAND	0	0	28	0	159	304	530		
DEMAND	0	0	28	30	165	308	564		
DEMAND	0	0	29	0	156	304	549		
DEMAND	0	0	29	30	163	308	554		
DEMAND	0	0	30	0	163	314	546		
DEMAND	0	0	30	30	162	313	532		
DEMAND	0	0	31	0	160	302	532		
DEMAND	0	0	31	30	159	319	545		
DEMAND	0	0	32	0	157	311	533		
DEMAND	0	0	32	30	155	287	554		
DEMAND	0	0	33	0	156	330	530		
DEMAND	0	0	33	30	156	319	539		
DEMAND	0	0	34	0	160	332	519		
DEMAND	0	0	34	30	161	288	526		
DEMAND	0	0	35	0	159	321	529		
DEMAND	0	0	35	30	159	310	548		
DEMAND	0	0	36	0	159	338	552		
DEMAND	0	0	36	30	152	330	522		
DEMAND	0	0	37	0	155	329	518		
DEMAND	0	0	37	30	152	322	539		
DEMAND	0	0	38	0	155	328	519		
DEMAND	0	0	38	30	150	312	538		
DEMAND	0	0	39	0	157	344	515		
DEMAND	0	0	39	30	151	303	524		
DEMAND	0	0	40	0	151	325	522		
DEMAND	0	0	40	30	152	329	545		
DEMAND	0	0	41	0	148	307	526		
DEMAND	0	0	41	30	153	316	525		
DEMAND	0	0	42	0	149	349	508		
DEMAND	0	0	42	30	150	354	524		
DEMAND	0	0	43	0	151	357	528		
DEMAND	0	0	43	30	152	339	535		
DEMAND	0	0	44	0	153	326	514		
DEMAND	0	0	44	30	147	348	513		
DEMAND	0	0	45	0	150	356	508		
DEMAND	0	0	45	30	152	360	527		
DEMAND	0	0	46	0	151	332	519		
DEMAND	0	0	46	30	147	358	513		
DEMAND	0	0	47	0	148	363	509		
DEMAND	0	0	47	30	147	339	512		
DEMAND	0	0	48	0	150	352	507		
DEMAND	0	0	48	30	150	360	503		
DEMAND	0	0	49	0	147	355	508		
DEMAND	0	0	49	30	144	362	526		
DEMAND	0	0	50	0	149	359	510		
DEMAND	0	0	50	30	143	351	511		
DEMAND	0	0	51	0	147	359	519		
DEMAND	0	0	51	30	147	366	505		
DEMAND	0	0	52	0	142	382	508		
DEMAND	0	0	52	30	144	353	513		
DEMAND	0	0	53	0	146	394	511		
DEMAND	0	0	53	30	141	402	510		
DEMAND	0	0	54	0	143	349	504		
DEMAND	0	0	54	30	141	357	515		
DEMAND	0	0	55	0	142	376	496		
DEMAND	0	0	55	30	143	388	506		
DEMAND	0	0	56	0	139	382	506		
DEMAND	0	0	56	30	141	382	501		
DEMAND	0	0	57	0	140	391	501		
DEMAND	0	0	57	30	141	407	512		
DEMAND	0	0	58	0	140	387	504		
DEMAND	0	0	58	30	140	387	513		
DEMAND	0	0	59	0	140	404	496		
DEMAND	0	0	59	30	141	382	497		
DEMAND	0	1	0	0	142	391	497		
DEMAND	0	1	0	30	137	382	509		
DEMAND	0	1	1	0	140	378	512		
DEMAND	0	1	1	30	140	382	514		
DEMAND	0	1	2	0	139	417	493		
DEMAND	0	1	2	30	140	388	499		
DEMAND	0	1	3	0	139	397	488		
DEMAND	0	1	3	30	135	409	498		
DEMAND	0	1	4	0	138	416	497		
