; MSControl_Server Game File									
; Apr 6th									
; Andrew Stokes									
;									
;	Profit	W.cost	J.cost	D.cost					
COSTS	10	5	7	18					
;									
;	W.na	W.eu	W.ap	J.na	J.eu	J.ap	D.na	D.eu	D.ap
CONFIG	1	2	5	1	2	5	2	0	0
;									
;	DAY	HH	MM	SS	DMA.na	DMD.eu	DMD.ap		
DEMAND	2	0	0	0	421	685	1591		
DEMAND	2	0	0	30	413	709	1544		
DEMAND	2	0	1	0	422	786	1748		
DEMAND	2	0	1	30	439	774	1578		
DEMAND	2	0	2	0	449	872	1564		
DEMAND	2	0	2	30	444	928	1553		
DEMAND	2	0	3	0	356	751	1509		
DEMAND	2	0	3	30	407	774	1885		
DEMAND	2	0	4	0	378	927	1584		
DEMAND	2	0	4	30	423	868	1684		
DEMAND	2	0	5	0	429	716	1551		
DEMAND	2	0	5	30	396	778	1508		
DEMAND	2	0	6	0	407	705	1693		
DEMAND	2	0	6	30	411	658	1623		
DEMAND	2	0	7	0	404	946	1533		
DEMAND	2	0	7	30	425	829	1591		
DEMAND	2	0	8	0	421	942	1601		
DEMAND	2	0	8	30	421	899	1673		
DEMAND	2	0	9	0	417	880	1806		
DEMAND	2	0	9	30	416	795	1544		
DEMAND	2	0	10	0	398	707	1695		
DEMAND	2	0	10	30	394	889	1657		
DEMAND	2	0	11	0	404	793	1499		
DEMAND	2	0	11	30	411	737	1541		
DEMAND	2	0	12	0	375	841	1569		
DEMAND	2	0	12	30	401	768	1695		
DEMAND	2	0	13	0	383	754	1422		
DEMAND	2	0	13	30	390	706	1560		
DEMAND	2	0	14	0	405	800	1714		
DEMAND	2	0	14	30	377	953	1440		
DEMAND	2	0	15	0	354	798	1510		
DEMAND	2	0	15	30	371	679	1481		
DEMAND	2	0	16	0	382	1029	1724		
DEMAND	2	0	16	30	387	996	1644		
DEMAND	2	0	17	0	365	1007	1628		
DEMAND	2	0	17	30	383	861	1590		
DEMAND	2	0	18	0	379	779	1734		
DEMAND	2	0	18	30	357	755	1612		
DEMAND	2	0	19	0	333	823	1691		
DEMAND	2	0	19	30	364	849	1537		
DEMAND	2	0	20	0	384	846	1622		
DEMAND	2	0	20	30	354	886	1442		
DEMAND	2	0	21	0	353	778	1656		
DEMAND	2	0	21	30	341	892	1638		
DEMAND	2	0	22	0	362	989	1428		
DEMAND	2	0	22	30	364	870	1519		
DEMAND	2	0	23	0	340	891	1502		
DEMAND	2	0	23	30	378	922	1441		
DEMAND	2	0	24	0	358	788	1494		
DEMAND	2	0	24	30	353	966	1569		
DEMAND	2	0	25	0	345	923	1480		
DEMAND	2	0	25	30	342	1168	1466		
DEMAND	2	0	26	0	347	792	1630		
DEMAND	2	0	26	30	364	1061	1403		
DEMAND	2	0	27	0	340	802	1471		
DEMAND	2	0	27	30	360	857	1446		
DEMAND	2	0	28	0	347	745	1613		
DEMAND	2	0	28	30	338	1107	1486		
DEMAND	2	0	29	0	365	898	1597		
DEMAND	2	0	29	30	351	803	1450		
DEMAND	2	0	30	0	335	874	1441		
DEMAND	2	0	30	30	329	1047	1632		
DEMAND	2	0	31	0	319	933	1567		
DEMAND	2	0	31	30	329	1001	1385		
DEMAND	2	0	32	0	356	1192	1410		
DEMAND	2	0	32	30	331	1087	1607		
DEMAND	2	0	33	0	360	859	1566		
DEMAND	2	0	33	30	344	1028	1500		
DEMAND	2	0	34	0	312	1007	1451		
DEMAND	2	0	34	30	328	776	1598		
DEMAND	2	0	35	0	329	1176	1541		
DEMAND	2	0	35	30	347	983	1499		
DEMAND	2	0	36	0	339	943	1639		
DEMAND	2	0	36	30	309	1057	1434		
DEMAND	2	0	37	0	335	968	1595		
DEMAND	2	0	37	30	313	1221	1535		
DEMAND	2	0	38	0	330	829	1599		
DEMAND	2	0	38	30	313	918	1382		
DEMAND	2	0	39	0	338	903	1478		
DEMAND	2	0	39	30	348	1245	1425		
DEMAND	2	0	40	0	295	939	1525		
DEMAND	2	0	40	30	301	1188	1498		
DEMAND	2	0	41	0	325	1023	1408		
DEMAND	2	0	41	30	322	1053	1440		
DEMAND	2	0	42	0	315	1086	1456		
DEMAND	2	0	42	30	333	1204	1453		
DEMAND	2	0	43	0	289	1018	1435		
DEMAND	2	0	43	30	311	926	1583		
DEMAND	2	0	44	0	313	939	1421		
DEMAND	2	0	44	30	315	1162	1346		
DEMAND	2	0	45	0	302	1121	1418		
DEMAND	2	0	45	30	334	1090	1502		
DEMAND	2	0	46	0	308	1209	1437		
DEMAND	2	0	46	30	300	1021	1434		
DEMAND	2	0	47	0	314	1053	1507		
DEMAND	2	0	47	30	319	902	1497		
DEMAND	2	0	48	0	320	1242	1458		
DEMAND	2	0	48	30	297	1191	1436		
DEMAND	2	0	49	0	303	1381	1511		
DEMAND	2	0	49	30	305	1261	1438		
DEMAND	2	0	50	0	273	1042	1495		
DEMAND	2	0	50	30	295	1117	1458		
DEMAND	2	0	51	0	312	962	1479		
DEMAND	2	0	51	30	326	1035	1395		
DEMAND	2	0	52	0	279	990	1375		
DEMAND	2	0	52	30	305	1359	1377		
DEMAND	2	0	53	0	304	975	1481		
DEMAND	2	0	53	30	269	1131	1407		
DEMAND	2	0	54	0	290	1232	1520		
DEMAND	2	0	54	30	307	1053	1478		
DEMAND	2	0	55	0	288	1224	1415		
DEMAND	2	0	55	30	280	1436	1418		
DEMAND	2	0	56	0	304	1075	1460		
DEMAND	2	0	56	30	292	1116	1400		
DEMAND	2	0	57	0	307	1256	1465		
