

Successful end at 113-04-02 13:33:16
Day,Time, dmd.NA, dmd.EU, dmd.AP, dmd.tot, w.NA, w.EU, w.AP, j.NA, j.EU, j.AP, d.NA, d.EU, d.AP, maxrev, rev, costs, profit, %profit, totpft, %totpft, dist.w.NA, dist.w.EU, dist.w.AP, dist.j.NA, dist.j.EU, dist.j.AP, dist.d.NA, dist.d.EU, dist.d.AP, dist.tot, con.w.NA, con.w.EU, con.w.AP, con.j.NA, con.j.EU, con.j.AP, con.d.NA, con.d.EU, con.d.AP 
MON,00:00:00,176,248,621,1045,2,2,2,1,1,1,0,1,0,94,75,51,24,25.53,24,25.53,178,400,400,178,360,360,0,844,0,844,0,0,0,0,0,0,0,0,0
MON,00:00:30,176,245,595,1016,1,2,2,1,1,1,0,1,0,91,51,48,3,3.30,27,14.59,176,381,400,176,342,360,0,824,0,576,-1,0,2,0,0,1,0,0,1
MON,00:01:00,164,249,593,1006,1,2,2,1,1,1,0,1,0,90,51,48,3,3.33,30,10.91,164,384,400,164,345,360,0,816,0,571,0,0,0,0,0,0,0,0,0
MON,00:01:30,165,235,617,1017,1,2,4,1,1,1,0,1,0,91,56,54,2,2.20,32,8.74,165,235,617,165,340,500,0,893,0,625,0,0,0,0,0,0,0,0,0
MON,00:02:00,171,242,616,1029,1,2,4,1,1,1,0,1,0,92,56,54,2,2.17,34,7.42,171,242,616,171,346,500,0,904,0,632,0,0,0,0,0,0,0,0,0
MON,00:02:30,176,232,594,1002,1,2,4,1,1,2,0,1,0,90,58,60,-2,-2.22,32,5.84,176,232,594,176,232,594,0,924,0,646,0,0,0,0,0,0,0,0,0
MON,00:03:00,175,239,608,1022,1,2,4,1,1,2,0,1,0,91,59,60,-1,-1.10,31,4.85,175,239,608,175,239,608,0,943,0,660,0,0,0,0,0,0,0,0,0
MON,00:03:30,181,247,593,1021,1,2,4,1,1,2,0,1,0,91,58,60,-2,-2.20,29,3.97,181,247,593,162,247,593,0,925,0,647,0,0,0,0,0,0,0,0,0
MON,00:04:00,177,236,612,1025,1,2,4,1,1,2,0,1,0,92,59,60,-1,-1.09,28,3.41,177,236,612,177,236,612,0,945,0,661,0,0,0,0,0,0,0,0,0
MON,00:04:30,182,254,599,1035,1,2,4,1,1,2,0,1,1,93,62,75,-13,-13.98,15,1.64,182,254,599,163,254,599,0,400,599,699,0,0,0,0,0,0,0,0,0
MON,00:05:00,162,256,569,987,1,2,4,1,1,2,0,1,1,88,61,75,-14,-15.91,1,0.10,162,256,569,162,256,569,0,401,569,679,0,0,0,0,0,0,0,-1,0
MON,00:05:30,174,249,586,1009,1,2,4,1,1,2,0,1,1,90,62,75,-13,-14.44,-12,-1.10,174,249,586,174,249,586,0,405,586,693,0,0,0,0,0,0,0,0,0
MON,00:06:00,174,252,577,1003,1,2,4,1,1,2,0,0,1,90,86,60,26,28.89,14,1.18,174,252,577,174,252,577,0,0,959,959,0,0,0,0,0,0,0,0,0
MON,00:06:30,175,260,579,1014,1,2,4,1,1,2,0,0,1,91,87,60,27,29.67,41,3.22,175,260,579,175,260,579,0,0,970,970,0,0,0,0,0,0,0,0,0
MON,00:07:00,170,263,602,1035,1,2,4,1,1,2,0,0,1,93,89,60,29,31.18,70,5.12,170,263,602,170,263,602,0,0,991,991,0,0,0,0,0,0,0,0,0
